,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
143,CS,IF,40X IF CS - 01.tif,zone 3,0.150332918357586,6.08,0.295995663707785,0.904491977665147,0.200956485379181,0.869515793796551,5.75430254320718,0.157113131779446,0.265317868908068,0.972629123633347
144,CS,IF,40X IF CS - 01.tif,zone 4,0.130676341473627,5.2,0.29503387409448,0.910317909499356,0.188243737638349,0.867793915246744,5.8969580224099,0.161471258277118,0.273936135845989,0.967420105102006
145,CS,IF,40X IF CS - 02.tif,zone 1,0.160788273343578,7.16,0.31344779104173,0.88452805598736,0.187855877970839,0.859223081148182,5.7238262865095,0.151052838093477,0.272157119852751,0.973884299326259
146,CS,IF,40X IF CS - 02.tif,zone 2,0.162978732067123,5.28,0.32243205795327,0.899797871126943,0.164209050027701,0.856486933476176,6.07976400999598,0.160016206709598,0.295633268805847,0.966060708651072
147,CS,IF,40X IF CS - 02.tif,zone 3,0.165810626997859,6.92,0.313627640036731,0.898937803813384,0.165758828776256,0.856921186613611,5.6011942249329,0.157051168796977,0.292139602768462,0.977798426311286
148,CS,IF,40X IF CS - 02.tif,zone 4,0.159406679605803,5.48,0.324692664013876,0.898456238598192,0.175403289618281,0.853760742101146,5.81135082011137,0.162425925364628,0.30924034014032,0.973910540051946
149,CS,IF,40X IF CS - 03.tif,zone 1,0.156410056934317,5.36,0.272446821752882,0.894841843209693,0.214076610318869,0.876910438560691,5.57022689068743,0.139097775352399,0.226801559513709,0.977530154346344
150,CS,IF,40X IF CS - 03.tif,zone 2,0.175024596625304,5.88,0.288609315375982,0.875218942243194,0.234661685120272,0.868656186103459,5.25714126768658,0.133554042415706,0.227046167161321,0.982886966843571
151,CS,IF,40X IF CS - 03.tif,zone 3,0.123529311897609,3.64,0.292336128966432,0.906501965572706,0.18368425929632,0.868559951535558,5.98229504428901,0.155139903789886,0.282872149329333,0.962456143313375
152,CS,IF,40X IF CS - 03.tif,zone 4,0.189322245571912,7.44,0.338458147127844,0.884804363064006,0.167635537381844,0.849431573308846,5.68639798587408,0.150907029859002,0.284084661497289,0.967201100406402
153,CS,IF,40X IF CS - 04.tif,zone 1,0.172696887155551,7.32,0.292506948270585,0.891407870035724,0.200479327554364,0.866382559602762,5.47065803076798,0.145137146423169,0.267854698999388,0.97058220205835
154,CS,IF,40X IF CS - 04.tif,zone 2,0.179205992738811,6.68,0.316050790735639,0.897485548966003,0.174286471843366,0.86079143080638,5.94014036682343,0.156811877311435,0.289099657892053,0.966390953804015
155,CS,IF,40X IF CS - 04.tif,zone 3,0.152490017390811,6.48,0.288979287827773,0.88607290167964,0.20664543837628,0.867530178043057,5.36803462668745,0.14119177633489,0.24832327532961,0.982687979559052
