"","antibodyName","doseLevel","treatmentTime","imagingType","imageFileName","zone","CV","Iso","ContrastN","CorrelationN","EnergyN","HomogeneityN","EntropyN","StdN","MeanN","RangeN"
"4438","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-10-Image Export-56.tif","zone 2",0.131993794499365,6.04166666666667,0.270472995952794,0.856134250055699,0.329634570544152,0.885046591076105,4.67604836468112,0.126400918182973,0.179214825794392,0.990114888237649
"4439","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-10-Image Export-56.tif","zone 3",0.157201637513728,7.76,0.306020314253648,0.85565742599253,0.309846882825195,0.872756835284058,4.81626668684701,0.126313048243337,0.183037637951162,0.98720078409963
"4440","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-10-Image Export-56.tif","zone 4",0.158486694745845,7.58333333333333,0.37352298234874,0.877079059450459,0.266825873098009,0.856899546157017,5.10278464549637,0.156803958136059,0.228298775314498,0.985752688172043
"4441","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-11-Image Export-57.tif","zone 1",0.158481528106397,8.12,0.39204817875727,0.863104002495688,0.207496763826278,0.843661182702445,5.24803997568153,0.15764853549565,0.248916294889935,0.984880947294534
"4442","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-11-Image Export-57.tif","zone 2",0.141586129793896,7.58333333333333,0.392375427252321,0.879711279211027,0.250916013370048,0.846388358518041,5.21981425904531,0.168705934762357,0.27287208317681,0.97258064516129
"4443","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-11-Image Export-57.tif","zone 3",0.191109610991473,8.64,0.348474267931844,0.877238551844954,0.226310784838191,0.856610422090069,5.20760991462581,0.15002045850693,0.227849079622602,0.978511385199241
"4444","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-11-Image Export-57.tif","zone 4",0.1797570650308,7.36,0.365379930619325,0.898737403758097,0.257561342304467,0.858158428173024,5.22131851911573,0.173724320802771,0.26149819656056,0.972296781410118
"4445","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-12-Image Export-58.tif","zone 1",0.191763027631363,11.2,0.398903846546271,0.852943340026231,0.203320570207568,0.841463463810787,5.15878407679528,0.149969738323228,0.246164725314041,0.97455800158207
"4446","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-12-Image Export-58.tif","zone 2",0.159767806606229,8.04,0.307030374451587,0.893571422016995,0.292954153788376,0.875437615403676,5.01329624370676,0.151772894675008,0.201303838541276,0.985528459134078
"4447","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-12-Image Export-58.tif","zone 3",0.173722068311395,9.84,0.352931211100908,0.853562292539443,0.245935726679923,0.854459955471016,4.90404251006335,0.138854611685105,0.229920456885379,0.974826932451904
"4448","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-12-Image Export-58.tif","zone 4",0.137663533462761,6.68,0.282816569737782,0.862637492159437,0.335571926085634,0.88219973046968,4.63716365259689,0.127985955079446,0.180772112771577,0.991295779104954
"4449","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-13-Image Export-59.tif","zone 1",0.18148371765461,9.92,0.44165585144373,0.88873483987562,0.192578586218711,0.834056698344678,5.41392702112522,0.186755728116295,0.304910880645162,0.969806451612903
"4450","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-13-Image Export-59.tif","zone 2",0.183493800827995,9.76,0.495800030609122,0.891662391342783,0.172998481008988,0.820639439512975,5.48322742708867,0.207594347632006,0.32326555142315,0.975225806451613
